LLD_Index,Arousal_Noisy,Valence_Noisy,Dominance_Noisy,Arousal_Enhanced,Valence_Enhanced,Dominance_Enhanced,Arousal_Delta,Valence_Delta,Dominance_Delta
18,-0.0089146774262189,0.0122481463477015,-0.0122446464374661,-0.0031586326658725,0.0292657706886529,0.0027354345656931,0.0057560447603464,0.0170176243409514,0.0149800810031592
19,0.005736721213907,0.0009161993511952,-0.010857461951673,-0.0024467883631587,0.0019664182327687,-0.0038784807547926,-0.0081835095770657,0.0010502188815734999,0.0069789811968803996
20,-0.0110001871362328,0.0313925817608833,-0.0568576678633689,-0.0127479443326592,0.0183622352778911,-0.0671079158782959,-0.0017477571964264003,-0.013030346482992197,-0.010250248014927
21,-0.0073301782831549,-0.002337351674214,-0.0088806077837944,0.0015105465427041,-0.0042082830332219,0.0049774278886616,0.008840724825859,-0.0018709313590079004,0.013858035672455998
22,0.0213470570743083,-0.0065964274108409,0.0277657881379127,0.0096923783421516,-0.0085420627146959,0.0117668472230434,-0.011654678732156701,-0.0019456353038549996,-0.0159989409148693
23,0.021723560988903,-0.001509625930339,0.0154558243229985,0.0084594562649726,-0.0141690708696842,0.0216917749494314,-0.0132641047239304,-0.012659444939345201,0.006235950626432899
24,0.0061311675235629,-0.0031748504843562,0.0005940279806964,0.0180576629936695,-0.0015675001777708,0.0021249691490083,0.011926495470106598,0.0016073503065854,0.0015309411683119
25,-0.0074746184982359,0.0008163400925695,-0.0031263784039765,-0.0064490274526178,0.0032676320988684,-0.0054929512552917,0.0010255910456180998,0.0024512920062989,-0.0023665728513152006
26,0.0011723871575668,-0.0006451563094742,0.0094504486769437,0.0007114241598173,4.0851664380170405e-05,0.0001245023740921,-0.0004609629977495001,0.0006860079738543704,-0.0093259463028516
27,0.0372156798839569,0.0116781527176499,0.0439435355365276,0.0550710931420326,0.0302099771797657,0.093643732368946,0.0178554132580757,0.0185318244621158,0.04970019683241841
28,0.0140347192063927,-0.0035896874032914,0.0229899324476718,0.0030762716196477,-0.0040124850347638,0.0093421507626771,-0.010958447586745001,-0.0004227976314723999,-0.0136477816849947
29,0.0169072113931179,-0.0108037544414401,0.015842281281948,0.0222614854574203,-0.0092908618971705,-0.0023519822861999,0.005354274064302399,0.0015128925442696,-0.0181942635681479
30,0.0100830234587192,-0.003743858076632,0.0027593739796429,-0.0002149754291167,-0.0030429256148636,0.0091412663459777,-0.0102979988878359,0.0007009324617684,0.006381892366334799
31,0.1596822142601013,0.0054239090532064,0.0296892244368791,0.011825131252408,0.0094176484271883,0.021444821730256,-0.1478570830076933,0.003993739373981899,-0.008244402706623098
32,0.0318197682499885,-0.0021850988268852,0.0122289443388581,0.0097563778981566,-0.0139448456466197,0.0004005033406428,-0.0220633903518319,-0.0117597468197345,-0.0118284409982153
33,0.0615919269621372,0.0029440165963023,0.0292762033641338,0.1719955950975418,-0.0183524880558252,0.0558794327080249,0.11040366813540461,-0.0212965046521275,0.026603229343891102
34,-0.0014734541764482,0.0051221470348536,-0.0076530873775482,0.0099822133779525,0.0532476864755153,-0.0207254607230424,0.0114556675544007,0.048125539440661703,-0.013072373345494201
35,0.0016157025238499,-0.0017090713372454,0.0002642178733367,0.0135052418336272,-0.0040606739930808,0.0013477952452376,0.0118895393097773,-0.0023516026558354,0.0010835773719009
36,-0.0099362283945083,0.001882639946416,-0.0238140206784009,-0.0119738774374127,0.0010192058980464,-0.0016992635792121,-0.0020376490429044013,-0.0008634340483695999,0.0221147570991888
37,0.0001992899924516,0.0001345607306575,-9.155886800726876e-06,0.00020386329561,3.32961899403017e-05,2.8656406357185915e-05,4.573303158400007e-06,-0.00010126454071719831,3.781229315791279e-05
